1,Bulbasaur,45,49,49,65,65,45,318,0,0,0,0,0
2,Ivysaur,60,62,63,80,80,60,405,0,0,0,0,0
3,Venusaur,80,82,83,100,100,80,525,0,0,0,0,0
4,Charmander,39,52,43,60,50,65,309,0,0,0,0,0
5,Charmeleon,58,64,58,80,65,80,405,0,0,0,0,0
6,Charizard,78,84,78,109,85,100,534,0,0,0,0,0
7,Squirtle,44,48,65,50,64,43,314,67,396,406,330,323
8,Wartortle,59,63,80,65,80,58,405,0,0,0,0,0
9,Blastoise,79,83,100,85,105,78,530,0,0,0,0,0
10,Caterpie,45,30,35,20,20,45,195,0,0,0,0,0
11,Metapod,50,20,55,25,25,30,205,0,0,0,0,0
12,Butterfree,60,45,50,90,80,70,395,0,0,0,0,0
13,Weedle,40,35,30,20,20,50,195,0,0,0,0,0
14,Kakuna,45,25,50,25,25,35,205,0,0,0,0,0
15,Beedrill,65,90,40,45,80,75,395,0,0,0,0,0
16,Pidgey,40,45,40,35,35,56,251,0,0,0,0,0
17,Pidgeotto,63,60,55,50,50,71,349,0,0,0,0,0
18,Pidgeot,83,80,75,70,70,101,479,0,0,0,0,0
19,Rattata,30,56,35,25,35,72,253,0,0,0,0,0
20,Raticate,55,81,60,50,70,97,413,0,0,0,0,0
21,Spearow,40,60,30,31,31,70,262,0,0,0,0,0
22,Fearow,65,90,65,61,61,100,442,0,0,0,0,0
23,Ekans,35,60,44,40,54,55,288,0,0,0,0,0
24,Arbok,60,85,69,65,79,80,438,0,0,0,0,0
25,Pikachu,35,55,40,50,50,90,320,0,0,0,0,0
26,Raichu,60,90,55,90,80,110,485,0,0,0,0,0
27,Sandshrew,50,75,85,20,30,40,300,0,0,0,0,0
28,Sandslash,75,100,110,45,55,65,450,0,0,0,0,0
29,Nidoranâ F,55,47,52,40,40,41,275,0,0,0,0,0
30,Nidorina,70,62,67,55,55,56,365,0,0,0,0,0
31,Nidoqueen,90,92,87,75,85,76,505,0,0,0,0,0
32,Nidoranâ M,46,57,40,40,40,50,273,0,0,0,0,0
33,Nidorino,61,72,57,55,55,65,365,0,0,0,0,0
34,Nidoking,81,102,77,85,75,85,505,0,0,0,0,0
35,Clefairy,70,45,48,60,65,35,323,0,0,0,0,0
36,Clefable,95,70,73,95,90,60,483,0,0,0,0,0
37,Vulpix,38,41,40,50,65,65,299,0,0,0,0,0
38,Ninetales,73,76,75,81,100,100,505,0,0,0,0,0
39,Jigglypuff,115,45,20,45,25,20,270,0,0,0,0,0
40,Wigglytuff,140,70,45,85,50,45,435,0,0,0,0,0
41,Zubat,40,45,35,30,40,55,245,0,0,0,0,0
42,Golbat,75,80,70,65,75,90,455,0,0,0,0,0
43,Oddish,45,50,55,75,65,30,320,0,0,0,0,0
44,Gloom,60,65,70,85,75,40,395,0,0,0,0,0
45,Vileplume,75,80,85,110,90,50,490,0,0,0,0,0
46,Paras,35,70,55,45,55,25,285,0,0,0,0,0
47,Parasect,60,95,80,60,80,30,405,0,0,0,0,0
48,Venonat,60,55,50,40,55,45,305,0,0,0,0,0
49,Venomoth,70,65,60,90,75,90,450,0,0,0,0,0
50,Diglett,10,55,25,35,45,95,265,0,0,0,0,0
51,Dugtrio,35,80,50,50,70,120,405,0,0,0,0,0
52,Meowth,40,45,35,40,40,90,290,0,0,0,0,0
53,Persian,65,70,60,65,65,115,440,0,0,0,0,0
54,Psyduck,50,52,48,65,50,55,320,0,0,0,0,0
55,Golduck,80,82,78,95,80,85,500,0,0,0,0,0
56,Mankey,40,80,35,35,45,70,305,0,0,0,0,0
57,Primeape,65,105,60,60,70,95,455,0,0,0,0,0
